event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0041,0.5525792,1.294654,0.2473066,0.1168787,0.1213404,0,False,-1.0,0,0.224,2138258000000.0,0.0,0.0,0.07888411,130.6408,8.696449,1,0.224,64871690000.0,0.0,0.0,0.6261489,136.7199,0.581407,2,0.224,3.91,0.0,0.0,0.1181089,-125.1684,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.7310137,1.18278,0.2288186,0.1958269,-0.1313082,0,False,-1.0,0,0.371,1930273000000.0,0.0,0.0,0.218681,75.41044,10.57963,1,0.371,62264350000.0,0.0,0.0,0.3336291,80.97238,0.1942202,2,0.371,1.03,0.0,0.0,0.01095784,-126.3365,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0042,3.037491,5.003544,0.1063497,1.028128,1.10755,0,False,-1.0,0,0.397,25962080000000.0,0.0,0.0,0.4144605,110.3151,11.24719,1,0.397,284116900000.0,0.0,0.0,0.1291894,101.9275,0.3866158,2,0.397,1.84,0.0,0.0,0.03477645,6.350263,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0141,1.715597,3.331289,0.1614494,-0.6403268,0.6832139,0,False,-1.0,0,0.605,15527650000000.0,0.0,0.0,0.2794596,96.88598,9.033229,1,0.605,135198100000.0,0.0,0.0,0.1691369,41.40447,0.1925662,2,0.605,2.69,0.0,0.0,0.07109717,-105.6954,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0043,1.405448,3.063468,0.01075722,0.8915896,1.080374,0,False,-1.0,0,0.761,12969260000000.0,0.0,0.0,0.3646552,-33.79725,7.948762,1,0.761,113243100000.0,0.0,0.0,0.12557,10.66727,0.1201121,2,0.761,5.27,0.0,0.0,0.07467841,154.9271,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0044,0.9224926,1.93857,0.2179449,-0.294983,0.2997164,0,False,-1.0,0,1.549,12722910000000.0,0.0,0.0,0.1638161,65.98759,4.608098,1,1.549,116375600000.0,0.0,0.0,0.1826984,44.33511,0.02450172,2,1.549,4.22,0.0,0.0,0.03917041,115.7081,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.09713293,0.2025103,0.1922109,-0.07299063,-0.002054438,0,False,-1.0,0,1.719,629758400000.0,0.0,0.0,0.2264826,129.856,5.299488,1,1.719,7981254000.0,0.0,0.0,0.5790632,52.53429,0.04538187,2,1.719,2.99,0.0,0.0,0.1154103,125.9539,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0137,0.8750913,1.865342,0.9446926,-0.6351928,0.8478511,0,True,0.2903135,2,0.754,8981291000000.0,-31.03248,13.10387,0.3465888,-43.67092,6.329727,3,0.754,97197930000.0,-31.03248,13.10387,0.5317347,-105.9497,0.2967304,4,0.754,2.67,0.0,0.0,0.04362558,-98.18017,0.0,0,0.754,1243394000000.0,0.0,0.0,0.3351826,-136.8638,28.99827,1,0.754,39668360000.0,0.0,0.0,0.2388762,-104.277,0.05882844
0046,0.1538151,0.312007,0.08530829,-0.06296621,-0.04295874,0,False,-1.0,0,1.022,438601700000.0,0.0,0.0,0.1778678,143.6228,5.888689,1,1.022,7767011000.0,0.0,0.0,0.2627816,200.5097,0.0515054,2,1.022,4.8,0.0,0.0,0.1370708,-60.97258,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0142,0.2110242,0.4798523,0.8787462,0.1255878,0.03364602,0,False,-1.0,0,0.437,499605900000.0,0.0,0.0,0.3899826,34.8931,7.843409,1,0.437,14785670000.0,0.0,0.0,0.389917,35.6546,0.2017913,2,0.437,3.48,0.0,0.0,0.04618522,-134.6504,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
