event_id,lens_einstein_radius,lens_max_sep,lens_flux_ratio,src_pos_x_arcsec,src_pos_y_arcsec,lens_type_flag,is_subhalo,subhalo_frac,host_halo_type,host_halo_z,host_halo_mass,host_halo_x,host_halo_y,host_halo_e,host_halo_pa,host_halo_param,central_gal_type,central_gal_z,central_gal_mass,central_gal_x,central_gal_y,central_gal_e,central_gal_pa,central_gal_param,shear_type,shear_z,shear_mass,shear_x,shear_y,shear_e,shear_pa,shear_param,subhalo_type,subhalo_z,subhalo_mass,subhalo_x,subhalo_y,subhalo_e,subhalo_pa,subhalo_param,satellite_type,satellite_z,satellite_mass,satellite_x,satellite_y,satellite_e,satellite_pa,satellite_param
0105,1.315719,2.739913,0.0966639,0.04529802,0.9273278,0,False,-1.0,0,0.5,56948510000000.0,0.0,0.0,0.2922245,15.45607,2.626408,1,0.5,229171600000.0,0.0,0.0,0.1224139,21.24804,0.4133131,2,0.5,3.95,0.0,0.0,0.04110901,-168.885,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0106,0.5476287,0.8871127,0.1790103,0.1383507,-0.02783733,0,False,-1.0,0,0.688,1134459000000.0,0.0,0.0,0.3337297,89.69135,5.743538,1,0.688,43374360000.0,0.0,0.0,0.4609265,68.00428,0.05306814,2,0.688,2.36,0.0,0.0,0.0542788,46.47548,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0107,0.6663681,1.212403,0.01540719,-0.7308888,-0.06871077,0,False,-1.0,0,1.107,1977838000000.0,0.0,0.0,0.4798076,103.3345,4.607498,1,1.107,68811410000.0,0.0,0.0,0.3820483,114.1987,0.0869163,2,1.107,6.15,0.0,0.0,0.1905998,-99.3056,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0108,3.330925,0.0,0.0,-2.54133,1.194156,0,False,-1.0,0,0.656,55196790000000.0,0.0,0.0,0.1721756,84.39247,5.748735,1,0.656,380537200000.0,0.0,0.0,0.4512774,74.97571,0.6697758,2,0.656,4.09,0.0,0.0,0.1038284,24.47782,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0001,0.4086027,0.786896,0.6707581,0.05223874,0.004848423,0,False,-1.0,0,1.117,2292329000000.0,0.0,0.0,0.1284808,25.49719,2.972107,1,1.117,47550310000.0,0.0,0.0,0.2340643,119.0875,0.09951357,2,1.117,3.76,0.0,0.0,0.06862569,-3.022936,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0002,0.4078428,0.82109,0.1854583,-0.122735,-0.09498814,0,False,-1.0,0,1.201,4093002000000.0,0.0,0.0,0.3101706,116.7159,3.18621,1,1.201,84425820000.0,0.0,0.0,0.2126337,137.2559,0.05336991,2,1.201,2.06,0.0,0.0,0.02919417,106.8815,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0109,2.318692,0.0,0.0,9.36387,4.252228,0,True,0.293995,2,0.374,91134700000000.0,18.7739,9.155619,0.1593399,-47.92027,9.523271,3,0.374,408920800000.0,18.7739,9.155619,0.3338747,-66.99826,0.5615008,4,0.374,3.53,0.0,0.0,0.034889,-139.646,0.0,0,0.374,8478017000000.0,0.0,0.0,0.1003874,-111.7128,14.15736,1,0.374,105947700000.0,0.0,0.0,0.4721584,-117.2154,0.3363123
0110,0.464913,1.064169,0.9992227,-0.9171013,0.8132656,0,True,0.2903661,2,0.835,16896750000000.0,-32.44754,21.49084,0.4292343,-111.9874,6.267472,3,0.835,154934500000.0,-32.44754,21.49084,0.2660571,-150.5504,0.1458209,4,0.835,2.21,0.0,0.0,0.05499456,-116.4569,0.0,0,0.835,1594081000000.0,0.0,0.0,0.2384798,-28.27166,14.41395,1,0.835,47917690000.0,0.0,0.0,0.3788596,-19.15178,0.1808462
0111,0.1557376,0.3268586,0.1424559,-0.008721392,0.1160826,0,False,-1.0,0,1.512,685934000000.0,0.0,0.0,0.1290016,-34.82767,6.474731,1,1.512,13005530000.0,0.0,0.0,0.2267977,-13.22591,0.07359299,2,1.512,3.62,0.0,0.0,0.07142193,-157.0839,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0112,2.006121,0.0,0.0,0.9072198,-1.309205,0,False,-1.0,0,0.47,77743750000000.0,0.0,0.0,0.3392429,-169.1075,5.753238,1,0.47,277674000000.0,0.0,0.0,0.678308,-148.5167,0.5108096,2,0.47,2.89,0.0,0.0,0.02897467,57.97928,0.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
